PLAYER,POS,AGE,TRB,AST,STL,BLK,PTS
JaVale McGee,C,36,2.7,0.4,0.3,0.4,4
Bryce McGowens,SG,21,1.7,0.9,0.4,0.2,5.1
Jordan McLaughlin,PG,27,1.3,2,0.6,0.1,3.5
De'Anthony Melton,SG,25,3.7,3,1.6,0.4,11.1
Nathan Mensah,C,25,2.6,0.4,0.2,0.6,1.3
Sam Merrill,SG,27,2,1.8,0.3,0.1,8
Chimezie Metu,C,26,3.8,0.9,0.8,0.3,6.5
Vasilije Micic,PG,30,1.5,4.4,0.5,0.1,7
Khris Middleton,SF,32,4.7,5.3,0.9,0.3,15.1
Brandon Miller,SF,21,4.3,2.4,0.9,0.6,17.3
Jordan Miller,SF,24,0.6,0,0,0,1.6
Leonard Miller,SF,20,1.2,0.5,0.1,0.1,1.7
Dariq Whitehead,SF,19,2,1.5,0,0.5,1.5
Patty Mills,PG,35,1.1,1.1,0.6,0,4
Shake Milton,SG,27,1.6,1.3,0.4,0.1,4.5
Justin Minaya,SF,24,1.6,0.6,0.3,0.3,1.8
Josh Minott,SF,21,0.5,0.3,0.2,0.2,1.6
Davion Mitchell,PG,25,1.3,1.9,0.2,0,5.3
Donovan Mitchell,SG,27,5.1,6.1,1.8,0.5,26.6
Evan Mobley,PF,22,9.4,3.2,0.9,1.4,15.7
Isaiah Mobley,PF,24,1,0.6,0.2,0,2.3
Malik Monk,SG,25,2.9,5.1,0.6,0.5,15.4
Moses Moody,SG,21,3,0.9,0.6,0.4,8.1
Xavier Moon,SG,29,1.3,1.5,0.2,0.2,2.4
Taze Moore,SG,25,2,1.3,0.5,0,4.5
Wendell Moore Jr.,SG,22,0.5,0.2,0.2,0,0.7
Ja Morant,PG,24,5.6,8.1,0.8,0.6,25.1
Marcus Morris,PF,34,2.7,0.7,0.3,0.3,6.4
Markieff Morris,PF,34,1.5,0.6,0.2,0.1,2.5
Monte Morris,PG,28,1.7,2.1,0.6,0.3,5
Trey Murphy III,SF,23,4.9,2.2,0.9,0.5,14.8
Dejounte Murray,SG,27,5.3,6.4,1.4,0.3,22.5
Jamal Murray,PG,26,4.1,6.5,1,0.7,21.2
Keegan Murray,SF,23,5.5,1.7,1,0.8,15.2
Kris Murray,SF,23,3.6,1.3,0.9,0.3,6.1
Mike Muscala,C,32,2.4,0.7,0.2,0.2,3
Svi Mykhailiuk,SF,26,1.2,0.9,0.3,0,4
Larry Nance Jr.,C,31,5,1.9,1,0.3,5.7
Pete Nance,PF,23,0.4,0,0.1,0,0.4
Andrew Nembhard,PG,24,2.1,4.1,0.9,0.1,9.2
Aaron Nesmith,SF,24,3.8,1.5,0.9,0.7,12.2
Georges Niang,PF,30,3.4,1.2,0.4,0.2,9.4
Daishen Nix,PG,21,0.2,0.4,0.3,0,1.8
Zeke Nnaji,PF,23,2.2,0.6,0.3,0.7,3.2
Jaylen Nowell,SG,24,1.8,1.5,0.3,0.2,6.2
Markquis Nowell,SG,24,2,2,1,0,2
Frank Ntilikina,PG,25,1.2,0.8,0,0,1
Jusuf Nurkic,C,29,11,4,1.1,1.1,10.9
Jordan Nwora,SF,25,2.9,1.2,0.5,0.3,7
Royce O'Neale,SF,30,4.8,2.8,0.7,0.6,7.7
Chuma Okeke,SF,25,1.7,0.4,0.2,0.1,2.3
Josh Okogie,SG,25,2.6,1.1,0.8,0.4,4.6
Onyeka Okongwu,C,23,6.8,1.3,0.5,1.1,10.2
Isaac Okoro,SF,23,3,1.9,0.8,0.5,9.4
Kelly Olynyk,C,32,5.3,4.4,0.9,0.4,9.8
Eugene Omoruyi,SF,26,2,0.8,0.6,0.1,4.8
Cedi Osman,SF,28,2.5,1.7,0.5,0.2,6.8
Kelly Oubre Jr.,SF,28,5,1.5,1.1,0.7,15.4
Chris Paul,PG,38,3.9,6.8,1.2,0.1,9.2
Cameron Payne,PG,29,1.5,2.6,0.5,0.1,7.4
Gary Payton II,SG,31,2.6,1.1,0.9,0.4,5.5
M ozinha Pereira,SF,23,5.3,0.3,0.9,0.6,6.9
Drew Peterson,PF,24,0.3,0.3,0.7,0,3.7
Filip Petru ev,C,23,0.3,0,0,0,1
Julian Phillips,SF,20,0.9,0.3,0.2,0.2,2.2
Jalen Pickett,SG,24,0.5,0.8,0.1,0,1.6
Scotty Pippen Jr.,PG,23,3.2,4.7,1.7,0.5,12.9
Mason Plumlee,C,33,5.1,1.2,0.3,0.4,5.3
Brandin Podziemski,SG,20,5.8,3.7,0.8,0.2,9.2
Jakob Poeltl,C,28,8.6,2.5,0.7,1.5,11.1
Aleksej Pokusevski,PF,22,3.2,1.3,0.5,0.5,5.2
Jordan Poole,SG,24,2.7,4.4,1.1,0.3,17.4
Craig Porter Jr.,PG,23,2.1,2.3,0.4,0.3,5.6
Jontay Porter,PF,24,3.2,2.3,0.8,0.8,4.4
Michael Porter Jr.,SF,25,7,1.5,0.5,0.7,16.7
Otto Porter Jr.,SF,30,1.9,0.5,0.3,0.3,2.6
Bobby Portis,PF,28,7.4,1.3,0.8,0.4,13.8
Kristaps Porzingis,C,28,7.2,2,0.7,1.9,20.1
Micah Potter,PF,25,2.7,0.4,0.3,0.4,3.3
Dwight Powell,C,32,3.4,1.3,0.4,0.3,3.3
Norman Powell,SG,30,2.6,1.1,0.6,0.3,13.9
Jason Preston,PG,24,2.4,2.3,0.3,0.1,1.7
Joshua Primo,SG,21,0.5,0,0,0.5,1
Taurean Prince,PF,29,2.9,1.5,0.7,0.4,8.9
Payton Pritchard,PG,26,3.2,3.4,0.5,0.1,9.6
Olivier-Maxence Prosper,PF,21,2,0.6,0.2,0.1,3
Trevelin Queen,SG,26,1.4,1.3,0.5,0.4,2.9
Neemias Queta,C,24,4.4,0.7,0.5,0.8,5.5
Immanuel Quickley,PG,24,3.8,4.9,0.7,0.1,17
Lester Quinones,SG,23,1.9,1,0.2,0.1,4.4
Jahmi'us Ramsey,SG,22,3.1,1.1,1,0,6.7
Julius Randle,PF,29,9.2,5,0.5,0.3,24
Duop Reath,C,27,3.7,1,0.5,0.6,9.1
Austin Reaves,SG,25,4.3,5.5,0.8,0.3,15.9
